x	y	label	showSelected1
-2.5	5	19 stations	2075
-2.5	5	13 stations	2076
-2.5	5	10 stations	2077
-2.5	5	10 stations	2078
-2.5	5	6 stations	2079
-2.5	5	1 station	2086
-2.5	5	1 station	2088
-2.5	5	1 station	2091
-2.5	5	2 stations	2092
-2.5	5	5 stations	2093
-2.5	5	4 stations	2094
-2.5	5	1 station	2095
-2.5	5	1 station	2096
-2.5	5	4 stations	2097
-2.5	5	3 stations	2098
-2.5	5	2 stations	2099
-2.5	5	5 stations	2100
-2.5	5	4 stations	2101
-2.5	5	4 stations	2102
-2.5	5	7 stations	2103
-2.5	5	2 stations	2104
-2.5	5	4 stations	2105
-2.5	5	5 stations	2106
-2.5	5	5 stations	2107
-2.5	5	6 stations	2108
-2.5	5	5 stations	2109
-2.5	5	1 station	2110
-2.5	5	8 stations	2111
-2.5	5	8 stations	2112
-2.5	5	9 stations	2113
-2.5	5	7 stations	2114
-2.5	5	9 stations	2115
-2.5	5	5 stations	2116
-2.5	5	9 stations	2117
-2.5	5	12 stations	2118
-2.5	5	6 stations	2119
-2.5	5	8 stations	2120
-2.5	5	11 stations	2121
-2.5	5	28 stations	2122
-2.5	5	34 stations	2123
-2.5	5	1 station	2124
-2.5	5	12 stations	2125
-2.5	5	5 stations	2126
-2.5	5	2 stations	2128
-2.5	5	1 station	2133
-2.5	5	1 station	2135
-2.5	5	4 stations	2137
-2.5	5	1 station	2138
-2.5	5	2 stations	2140
-2.5	5	3 stations	2143
-2.5	5	1 station	2144
-2.5	5	6 stations	2145
-2.5	5	4 stations	2146
-2.5	5	4 stations	2147
-2.5	5	8 stations	2148
-2.5	5	5 stations	2149
-2.5	5	3 stations	2150
-2.5	5	4 stations	2151
-2.5	5	3 stations	2152
-2.5	5	1 station	2153
-2.5	5	3 stations	2155
-2.5	5	1 station	2156
-2.5	5	1 station	2157
-2.5	5	1 station	2159
-2.5	5	4 stations	2161
-2.5	5	2 stations	2162
-2.5	5	3 stations	2163
-2.5	5	2 stations	2164
-2.5	5	2 stations	2165
-2.5	5	3 stations	2166
-2.5	5	2 stations	2167
-2.5	5	3 stations	2168
-2.5	5	2 stations	2169
-2.5	5	6 stations	2170
-2.5	5	5 stations	2171
-2.5	5	3 stations	2172
-2.5	5	4 stations	2173
-2.5	5	3 stations	2174
-2.5	5	2 stations	2175
-2.5	5	4 stations	2176
-2.5	5	1 station	2177
-2.5	5	4 stations	2178
-2.5	5	3 stations	2179
-2.5	5	3 stations	2180
-2.5	5	3 stations	2181
-2.5	5	2 stations	2182
-2.5	5	3 stations	2183
-2.5	5	5 stations	2184
-2.5	5	5 stations	2185
-2.5	5	6 stations	2186
-2.5	5	9 stations	2187
-2.5	5	9 stations	2188
-2.5	5	6 stations	2189
-2.5	5	12 stations	2190
-2.5	5	9 stations	2191
-2.5	5	8 stations	2192
-2.5	5	6 stations	2193
-2.5	5	33 stations	2194
-2.5	5	47 stations	2195
-2.5	5	2 stations	2196
-2.5	5	1 station	2197
-2.5	5	1 station	2198
-2.5	5	1 station	2199
-2.5	5	2 stations	2200
-2.5	5	3 stations	2201
-2.5	5	1 station	2203
-2.5	5	4 stations	2206
-2.5	5	1 station	2207
-2.5	5	1 station	2209
-2.5	5	3 stations	2210
-2.5	5	2 stations	2212
-2.5	5	1 station	2213
-2.5	5	1 station	2215
-2.5	5	1 station	2216
-2.5	5	1 station	2217
-2.5	5	1 station	2218
-2.5	5	3 stations	2219
-2.5	5	2 stations	2220
-2.5	5	2 stations	2221
-2.5	5	2 stations	2222
-2.5	5	1 station	2223
-2.5	5	7 stations	2224
-2.5	5	2 stations	2225
-2.5	5	11 stations	2226
-2.5	5	4 stations	2227
-2.5	5	5 stations	2228
-2.5	5	2 stations	2229
-2.5	5	2 stations	2230
-2.5	5	1 station	2231
-2.5	5	1 station	2233
-2.5	5	3 stations	2234
-2.5	5	2 stations	2235
-2.5	5	4 stations	2236
-2.5	5	2 stations	2237
-2.5	5	2 stations	2238
-2.5	5	1 station	2240
-2.5	5	2 stations	2241
-2.5	5	1 station	2242
-2.5	5	2 stations	2244
-2.5	5	1 station	2245
-2.5	5	2 stations	2246
-2.5	5	1 station	2248
-2.5	5	1 station	2250
-2.5	5	3 stations	2251
-2.5	5	2 stations	2252
-2.5	5	2 stations	2253
-2.5	5	4 stations	2254
-2.5	5	4 stations	2255
-2.5	5	6 stations	2256
-2.5	5	4 stations	2257
-2.5	5	2 stations	2258
-2.5	5	3 stations	2259
-2.5	5	5 stations	2260
-2.5	5	8 stations	2261
-2.5	5	11 stations	2262
-2.5	5	8 stations	2263
-2.5	5	14 stations	2264
-2.5	5	20 stations	2265
-2.5	5	16 stations	2266
-2.5	5	1 station	2268
-2.5	5	1 station	2271
-2.5	5	4 stations	2272
-2.5	5	1 station	2273
-2.5	5	1 station	2276
-2.5	5	4 stations	2279
-2.5	5	2 stations	2281
-2.5	5	2 stations	2282
-2.5	5	1 station	2283
-2.5	5	1 station	2284
-2.5	5	1 station	2285
-2.5	5	1 station	2286
-2.5	5	2 stations	2287
-2.5	5	2 stations	2290
-2.5	5	1 station	2291
-2.5	5	2 stations	2292
-2.5	5	1 station	2293
-2.5	5	2 stations	2294
-2.5	5	4 stations	2295
-2.5	5	2 stations	2296
-2.5	5	1 station	2297
-2.5	5	1 station	2298
-2.5	5	4 stations	2299
-2.5	5	1 station	2301
-2.5	5	3 stations	2302
-2.5	5	4 stations	2304
-2.5	5	1 station	2306
-2.5	5	1 station	2308
-2.5	5	1 station	2310
-2.5	5	2 stations	2311
-2.5	5	2 stations	2312
-2.5	5	3 stations	2313
-2.5	5	3 stations	2315
-2.5	5	1 station	2316
-2.5	5	1 station	2317
-2.5	5	3 stations	2318
-2.5	5	1 station	2320
-2.5	5	1 station	2322
-2.5	5	2 stations	2324
-2.5	5	3 stations	2325
-2.5	5	3 stations	2326
-2.5	5	1 station	2327
-2.5	5	2 stations	2329
-2.5	5	1 station	2330
-2.5	5	2 stations	2334
-2.5	5	7 stations	2335
-2.5	5	4 stations	2336
-2.5	5	2 stations	2337
-2.5	5	1 station	2342
-2.5	5	4 stations	2345
-2.5	5	1 station	2348
-2.5	5	1 station	2351
-2.5	5	2 stations	2352
-2.5	5	1 station	2354
-2.5	5	1 station	2356
-2.5	5	1 station	2357
-2.5	5	1 station	2359
-2.5	5	1 station	2364
-2.5	5	1 station	2365
-2.5	5	1 station	2366
-2.5	5	1 station	2369
-2.5	5	1 station	2370
-2.5	5	1 station	2372
-2.5	5	1 station	2376
-2.5	5	1 station	2385
-2.5	5	1 station	2390
